OBJNAME,FIELD,NEW_VALUE,REASON
WISEA J220600.18-500630.2,DIAM,0.6,VI
ESO 511- G 024,DIAM,1.24,VI
ESO 511- G 024,BA,0.2,VI
ESO 511- G 024,PA,108.0,VI
WISEA J151100.07+054658.0,DIAM,0.6,VI
ESO 087-IG 018 NED02,DIAM,0.6,VI
GALEXASC J133150.61-310328.7,
GALEXASC J133113.53-311244.9,
WISEA J133041.65-314005.4,
WISEA J133153.89-314607.2,
WISEA J134242.65-321825.2,
WISEA J134727.89-324944.0,
2MASS J13472699-3254088,
2MASS J13472705-3254196,
WISEA J134719.97-325537.1,
WISEA J134739.70-325706.4,
WISEA J135528.76-335329.9,
NGC 3161,DIAM,0.6,VI
NGC 3161,BA,1.0,VI
NGC 3161,PA,0.0,VI
UGC 08335 NED01,DIAM,1.0,VI
UGC 08335 NED02,DIAM,1.0,VI
2MFGC 14049,DIAM,1.2,VI
PGC095065,DIAM,0.7,VI
FGC 0488,DIAM,0.7,VI
LSBC F863-02,RA,208.1856,VI
LSBC F863-02,DEC,0.1301,VI
WISEA J042855.96-534734.8,DIAM,0.7,VI
ESO 435- G 004,RA,148.1556,VI
ESO 435- G 004,DEC,-29.0683,VI
WISEA J160628.13+270814.2,DIAM,0.7,VI
2MASS J10540798+3731177,DIAM,1.0,VI
ESO 488- G 036,RA,87.4183,VI
ESO 488- G 036,DEC,-25.8045,VI
WISEA J081443.11+142750.5,DIAM,0.7,VI
WISEA J081443.11+142750.5,RA,123.6773,VI
WISEA J081443.11+142750.5,DEC,14.4663,VI
ESO 294-IG 011 NED01,RA,6.8484,VI
ESO 294-IG 011 NED01,DEC,-40.6165,VI
FGCE 1735,DIAM,1.0,VI
FGCE 1735,PA,60.,VI
WISEA J121400.93+170439.0,DIAM,0.6,VI
FGCE 1021,RA,197.0697,VI
FGCE 1021,DEC,-21.9951,VI
FGCE 0888,RA,171.4132,VI
FGCE 0888,DEC,-20.4612,VI
ESO 062- G 004,RA,153.7149,VI
ESO 062- G 004,DEC,-72.2962,VI
PGC 251349,DIAM,0.5,VI
GALEXASC J051607.95-290803.6,RA,79.0355,VI
GALEXASC J051607.95-290803.6,DEC,-29.1342,VI
2MASS J05423917-5828470,RA,85.6612,VI
2MASS J05423917-5828470,DEC,-58.4802,VI
ABELL S0112:[GMT93] B,DIAM,2.0,VI
ABELL S0112:[GMT93] B,PA,0.0,VI
ABELL S0112:[GMT93] B,BA,1.0,VI
WISEA J072122.05+554754.7,DIAM,0.7,VI
UGC 12914,PA,145.0,VI
UGC 12914,DIAM,2.0,VI
UGC 12915,RA,0.4250,VI
UGC 12915,DEC,23.4957,VI
PKS 0043-63,DIAM,1.5,VI
PKS 0043-63,BA,0.9,VI
MCG -01-06-022,DIAM,2.0,VI
UGC 02914 NOTES02,DIAM,2.0,VI
WISEA J065518.04-553324.7,DIAM,1.5,VI
WISEA J065514.58-553420.8,DIAM,1.5,VI
NGC 3267,DIAM,2.5,VI
WISEA J102953.04-352230.8,DIAM,2.0,VI
NGC 4015 NED01,DIAM,2.9,VI
WISEA J124125.43-123945.4,DIAM,1.0,VI
WISEA J124125.43-123945.4,PA,0.0,VI
2MASX J12412771-1239485,DIAM,1.0,VI
2MASX J12412771-1239485,PA,45.0,VI
ESO 269-IG 074 NED02,DIAM,1.0,VI
ESO 269-IG 074 NED02,BA,0.8,VI
NGC 5193A,DIAM,0.9,VI
NGC 5193,DIAM,0.7,VI
UGC 08763 NED01,DIAM,0.5,VI
UGC 08763 NED01,BA,1.0,VI
UGC 08763 NED01,PA,0.0,VI
UGC 08763 NED02,DIAM,2.0,VI
UGC 08763 NED02,BA,1.0,VI
UGC 08763 NED02,PA,0.0,VI
WISEA J150657.95-313359.5,DIAM,0.6,VI
ESO 102-IG 018 NED02,DIAM,1.0,VI
NGC 6579,DIAM,0.5,VI
NGC 6579,BA,1.0,VI
NGC 6579,PA,0.0,VI
FGCE 1475,RA,307.7474,VI
FGCE 1475,DEC,-70.9476,VI
ESO 441- G 018,RA,182.787031,VI
ESO 441- G 018,DEC,-31.150920,VI
CGMW 2-4499,RA,134.098964,VI
CGMW 2-4499,DEC,-29.632478,VI
PGC 562270,RA,316.1824,VI
PGC 562270,DEC,-42.5319,VI
2MASS J14013465-2709529,RA,210.393357,VI
2MASS J14013465-2709529,DEC,-27.163375,VI
2MASS J14013465-2709529,DIAM,0.48,VI
WISEA J130753.38-231520.3,RA,196.969235,VI
WISEA J130753.38-231520.3,DEC,-23.256024,VI
SDSS J132255.25+080949.8,RA,200.7311,VI
SDSS J132255.25+080949.8,DEC,8.1614,VI
SDSS J132255.25+080949.8,DIAM,0.758,VI
SDSS J132255.25+080949.8,BA,0.87,VI
SDSS J132255.25+080949.8,PA,85.0,VI
UGC 01829 NED02,RA,35.5950,VI
UGC 01829 NED02,DEC,33.7470,VI
UGC 01829 NED02,DIAM,0.8,VI
UGC 01829 NED02,BA,0.66,VI
UGC 01829 NED02,PA,43.2,VI
UGC 01829 NED01,DIAM,0.5,VI
UGC 01829 NED01,BA,1.0,VI
UGC 01829 NED01,PA,0.0,VI
ESO 448- G 003,RA,222.2487,VI
ESO 448- G 003,DEC,-29.4674,VI
ESO 009- G 001,RA,239.905320,VI
ESO 009- G 001,DEC,-82.914328,VI
ESO 009- G 001,DIAM,1.5,VI
ESO 009- G 001,BA,0.2,VI
ESO 009- G 001,PA,90.0,VI
NGC 4038,RA,180.466180,VI
NGC 4038,DEC,-18.867089,VI
VV 269b,DIAM,1.0,VI
VV 269b,BA,1.0,VI
VV 269b,PA,0.0,VI
ESO 287-IG 038 NED02,RA,323.7219,VI
ESO 287-IG 038 NED02,DEC,-46.0380,VI
ESO 287-IG 038 NED02,DIAM,0.808,VI
ESO 287-IG 038 NED02,BA,0.91,VI
ESO 287-IG 038 NED02,PA,96.7,VI
NGC 6835,RA,298.6379,VI
NGC 6835,DEC,-12.5675,VI
NGC 6835,BA,0.2,VI
PGC1 0963409 NED001,RA,302.694776,VI
PGC1 0963409 NED001,DEC,-11.643215,VI
PGC1 0963409 NED001,DIAM,0.873,VI
PGC1 0963409 NED001,BA,0.82,VI
PGC1 0963409 NED001,PA,9.2,VI
2MFGC 16892,RA,336.3190,VI
2MFGC 16892,DEC,-0.9101,VI
2MFGC 16892,DIAM,0.8,VI
PGC131304,RA,63.665680,VI
PGC131304,DEC,-39.380986,VI
KUG 0159-106,RA,30.535521,VI
KUG 0159-106,DEC,-10.403829,VI
PGC608904,RA,53.6669,VI
PGC608904,DEC,-38.4470,VI
PGC958727,RA,316.844745,VI
PGC958727,DEC,-12.023453,VI
NGC 4175,RA,183.129607,VI
NGC 4175,DEC,29.169040,VI
NGC 4175,DIAM,3.0,VI
UGC 12915,RA,0.409641,VI
UGC 12915,DEC,23.483631,VI
UGC 12915,DIAM,3.3,VI
UGC 12915,BA,0.66,VI
UGC 12915,PA,163.0,VI
UGC 12914,RA,0.425044,VI
UGC 12914,DEC,23.495740,VI
UGC 12914,DIAM,1.77,VI
UGC 12914,BA,0.34,VI
UGC 12914,PA,140.5,VI
UGCA 112,RA,85.503785,VI
UGCA 112,DEC,-22.946245,VI
UGCA 112,DIAM,5.85,VI
UGCA 112,BA,0.19,VI
UGCA 112,PA,103.3,VI
ESO 202-IG 009,RA,65.266000,VI
ESO 202-IG 009,DEC,-48.305443,VI
ESO 202-IG 009,DIAM,1.94,VI
ESO 202-IG 009,BA,0.29,VI
ESO 202-IG 009,PA,20.2,VI
IC 4635,PA,150,VI
IC 4635,BA,0.4,VI
IC 4635,DIAM,4.5,VI
DDO 226,RA,10.765830,VI
DDO 226,DEC,-22.250280,VI
NGC 24,RA,2.4832,VI
NGC 24,DEC,-24.9653,VI
NGC 2903-HI-1,RA,142.666516,VI
NGC 2903-HI-1,DEC,21.723562,VI
ESO 273-014,RA,224.6264,VI
ESO 273-014,DEC,-47.6991,VI
UGC 09371 NED01,DIAM,3.5,VI
WISEA J014835.53-253109.9,DIAM,1.0,VI
WISEA J182311.73-531642.0,DIAM,2.0,VI
CGCG 049-089,DIAM,1.2,VI
ESO 513- G 018,RA,226.5424,VI
ESO 513- G 018,DEC,-26.8719,VI
FGC 091A,RA,118.0738,VI
FGC 091A,DEC,63.8250,VI
FGC 091A,DIAM,1.0,VI
NGC 6745 NED02,DIAM,0.4,VI
APMUKS(BJ) B023404.83+011849.2,RA,39.164788,VI
APMUKS(BJ) B023404.83+011849.2,DEC,1.533643,VI
APMUKS(BJ) B023404.83+011849.2,DIAM,0.4,VI
2MASX J18511360+4908491,RA,282.806186,VI
2MASX J18511360+4908491,DEC,49.147920,VI
UGC 12578,RA,351.0978,VI
UGC 12578,DEC,-0.1076,VI
ZwCl 1710.4+6401 B,DIAM,0.7,VI
ZwCl 1710.4+6401 B,BA,1.0,VI
ZwCl 1710.4+6401 B,PA,0.0,VI
2MFGC 13239,RA,247.746487,VI
2MFGC 13239,DEC,82.125547,VI
MCG +13-07-009,RA,133.457498,VI
MCG +13-07-009,DEC,76.357459,VI
NGC 3445,RA,163.647974,VI
NGC 3445,DEC,56.990812,VI
NGC 0941,RA,37.115994,VI
NGC 0941,DEC,-1.151235,VI
WISEA J090625.88+405224.6,RA,136.607825,VI
WISEA J090625.88+405224.6,DEC,40.872514,VI
NGC 3995,RA,179.433803,VI
NGC 3995,DEC,32.294063,VI
KUG 1319+356,RA,200.480145,VI
KUG 1319+356,DEC,35.358871,VI
WISEA J183842.00+521145.4,RA,279.674918,VI
WISEA J183842.00+521145.4,DEC,52.195992,VI
SBS 1404+571,RA,211.635012,VI
SBS 1404+571,DEC,56.944512,VI
CGCG 287-055 NED02,BA,1.0,VI
CGCG 287-055 NED02,PA,0.0,VI
CGCG 287-055 NED02,DIAM,0.5,VI
CGCG 287-055 NED01,PA,25.0,VI
CGCG 287-055 NED01,BA,0.25,VI
CGCG 287-055 NED01,DIAM,1.0,VI
CGCG 287-055 NED01,RA,123.405488,VI
CGCG 287-055 NED01,DEC,58.138488,VI
WISEA J115501.08+725447.6,RA,178.753433,VI
WISEA J115501.08+725447.6,DEC,72.913286,VI
2MFGC 09366,RA,178.982314,VI
2MFGC 09366,DEC,74.477231,VI
Holmberg VIII,RA,198.323310,VI
Holmberg VIII,DEC,36.214794,VI
NGC 5403,RA,209.961897,VI
NGC 5403,DEC,38.182138,VI
MESSIER 101,DIAM,28.84,VI
